Date/Time,CORE_ZN:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_4:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CORE_ZN:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_1:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_2:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_3:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_4:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 01/10  07:00:00,21.022006685834643,20.923689196112708,20.778151765682153,20.869850454441362,20.71905537973422,0.5999321530392208,-0.7210969483873999,-0.8807928221686384,-0.9813397040550693,-0.978709241466585,-0.9754556855695635 
 01/10  08:00:00,21.109969088918042,21.109915729684452,21.10966976918533,21.109932368298068,21.10923368904065,0.7612979733931213,-0.6784575825749446,-0.7847811718157958,-0.8308360660324938,-0.871094173920185,-0.8485466661972604 
 01/10  09:00:00,21.109999987647363,21.17050882773265,21.10999958417743,21.109999977752434,21.109998302982156,5.362452562501966,-0.6529058349667805,-0.6662159423816552,-0.709998817272782,-0.8213050082598715,-0.7987494493157137 
 01/10  10:00:00,21.11032987926952,21.98400060151322,21.317554967828364,21.109999999991555,21.10999999563931,12.926111024848382,-0.6274976722543195,-0.46337264623432217,-0.633193077052464,-0.7827688455811933,-0.7576753443901763 
 01/10  11:00:00,21.192495717550322,22.875076610490733,21.15011790123931,21.109999999999992,21.109999999987313,19.895957102872707,-0.597971765095159,-0.2572479156896941,-0.6484777121303575,-0.7562953611156807,-0.7282539517975972 
 01/10  12:00:00,21.335469062156733,23.6098214288889,21.263859052095654,21.11,21.10999999999996,24.296803780766602,-0.5553586643722751,-0.07393299621629372,-0.6443151971417266,-0.7340938285518063,-0.7038808035442508 
 01/10  13:00:00,21.22631755390702,23.068689036640322,20.90404909373321,21.109999999999996,21.11,26.12708707336342,-0.5505885544306197,-0.09511617047390104,-0.6917670764697962,-0.7213191026737582,-0.68642300608181 
 01/10  14:00:00,21.37319172226841,23.8238863114776,21.101585121956116,21.11,21.230083092873606,24.55885219314753,-0.5082764676276397,0.03315218256847903,-0.6606872237948176,-0.7088413663902526,-0.6288803081612251 
 01/10  15:00:00,21.3970665099501,23.889914729534922,20.90961843328523,21.11,21.615953442996613,20.112467397571166,-0.48559619317705416,0.07237139695730518,-0.6843701508614973,-0.6953594466046661,-0.5204591087090833 
 01/10  16:00:00,21.467633875135405,23.874921695916733,21.093720556302532,21.11,22.05228003518954,14.597891840063234,-0.46600533470665917,0.06629725513405048,-0.6591882789518684,-0.6876590342332168,-0.40942961723619165 
 01/10  17:00:00,21.492908805359324,23.434083453732665,21.109966425569855,21.11,22.048880989670806,8.242364348492174,-0.4564483193924703,-0.04758409631394177,-0.6582841984918503,-0.6873048335318854,-0.41574239478370806 
 01/10  18:00:00,21.12753186924292,21.264233268714392,21.10999993185914,21.11,21.18523383455926,2.425856392824322,-0.5285498855390621,-0.4391009566272877,-0.6770727862475016,-0.7043345028693438,-0.5980321745651945 
 01/10  19:00:00,21.110013570542947,21.110138114057218,21.10999999986585,21.11,21.110401158882613,-0.9834163926662653,-0.5670463451770449,-0.5366688905345883,-0.7001357358588265,-0.7260196871194811,-0.6561861080878668 
 01/10  20:00:00,20.66350968986366,20.86822287222155,19.311325384312923,19.055032128103868,19.594778882907285,-2.05612508676548,-0.6390731844928895,-0.6056367004391414,-0.9691413814789448,-1.030512429234658,-0.8960401713913506 
 01/10  21:00:00,20.46640843075207,20.7269180688144,18.878779007265976,18.556322917811478,19.177099173045477,-1.42336703376252,-0.6662953288019225,-0.6504768690145752,-1.0649014507804817,-1.1382080563164443,-0.9931412591297104 
 01/10  22:00:00,20.355353741445,20.615581195211554,18.719377389263112,18.382331930881126,19.012045870553877,-1.221512295827915,-0.6766620710157868,-0.6829743387229759,-1.107009424948432,-1.1826402106541434,-1.0382680845973882 
 01/10  23:00:00,20.2347940129986,20.403556837693795,18.496219479957862,18.158708189035174,18.768466525023744,-0.9798191669160603,-0.694831451066436,-0.7283284698997661,-1.1538320297450944,-1.2292581753134622,-1.0881196134904856 
 01/10  24:00:00,20.070660467044213,20.27837233282454,18.375059888571315,18.024417796688407,18.63333337613365,-0.6274939850161585,-0.7244920257989367,-0.7621099702112358,-1.185896782767827,-1.262526631914786,-1.1237400325416158 
 01/11  01:00:00,20.235945611444755,20.407546859429154,18.560638599510497,18.227890858328674,18.80276929396095,-0.6302798764503457,-0.7084395313381349,-0.7570370635542348,-1.1715703720165935,-1.244656564449264,-1.1136211123913635 
 01/11  02:00:00,20.23143941828558,20.216929352626487,18.403055119971484,18.08644510096172,18.626959639821035,-1.0157769658575204,-0.7109018186582964,-0.7955042411224063,-1.2010156506659708,-1.2722664172513214,-1.1464023542770216 
 01/11  03:00:00,20.202672582611456,20.108714386485588,18.320063670827082,18.015712171957357,18.53420234344641,-1.144621035458351,-0.7174742473485725,-0.8208072896424776,-1.2201581026223587,-1.288834271916586,-1.1675246867987492 
 01/11  04:00:00,20.174175005418498,19.949577722605902,18.187731408439692,17.90066700351302,18.397517426773266,-0.24527742225322235,-0.7240455652516751,-0.8531780975417871,-1.2461845694358489,-1.311707610152777,-1.1948750343564893 
 01/11  05:00:00,20.281274874127156,19.69807725300781,17.954876586824565,17.66696073247889,18.16488049631163,-0.8236343286431973,-0.7123550356440222,-0.9023750410794447,-1.289948943047251,-1.3549885405943964,-1.2396046477717784 
 01/11  06:00:00,20.514188388600544,19.61255139989496,17.9003973049463,17.614872675540582,18.10579025419651,-1.848150737426509,-0.6785084339576299,-0.9288299025831779,-1.3096697980650922,-1.3736610898112496,-1.2607140362029692 
 01/11  07:00:00,21.094383312032843,21.023128468319975,20.862430997203425,20.914237166976438,20.83408930484,-1.9358051232228797,-0.5883296035336445,-0.7272829771818975,-0.8804551254543838,-0.8923719625183915,-0.8671745562663473 
 01/11  08:00:00,21.110323924936473,21.109938821311353,21.109699621222372,21.109933965493322,21.109339256901254,0.18604421069065408,-0.5787548481204662,-0.6762203366629282,-0.7707686187136299,-0.8055804991432817,-0.7775785797989565 
 01/11  09:00:00,21.261871488883962,21.427214537959912,21.10999955433894,21.109999974418145,21.109998241958323,3.5899574349615397,-0.5407829591805755,-0.5529286966790091,-0.6820034370515095,-0.7566025825493949,-0.730786959236856 
 01/11  10:00:00,21.694545144462513,22.202651541974852,21.303991874874885,21.10999999998866,21.1123653806341,10.16656829697467,-0.4508689653379677,-0.3844948470166726,-0.6185723812490075,-0.7124855390735275,-0.6902089450681718 
 01/11  11:00:00,22.05092734677307,22.922729893250526,21.217702145901974,21.109999999999996,21.292690601287976,16.62945223265897,-0.37549614173278095,-0.22624980142154905,-0.6110901157576882,-0.6823116646021371,-0.6344407433407128 
 01/11  12:00:00,22.35218777308953,23.246796056812187,21.7207489285617,21.16309585204543,21.638942986580535,20.11805079950185,-0.3100035286622387,-0.1613174438299507,-0.5348054590565009,-0.6524581560631384,-0.5581920860776209 
 01/11  13:00:00,22.32630757118978,22.815031873086355,21.3688736892855,21.133313504091294,21.727264249846804,21.83529585179219,-0.29591717461057826,-0.20775866922803338,-0.569931099431007,-0.6433615423003312,-0.5249095811692331 
 01/11  14:00:00,22.58216945212803,23.466660446856977,21.89284158876368,21.38742666969548,22.05564054128076,22.105686657750184,-0.2415705114059695,-0.10825864667639126,-0.48635701150165384,-0.5937762392182727,-0.4539214890366164 
 01/11  15:00:00,22.83873015763791,23.793669278926334,21.626982000949916,21.635879911589768,22.427188164060183,21.550071763028406,-0.1868618572395869,-0.03754903611378339,-0.5091714697411702,-0.5406533674933389,-0.37206012547926065 
 01/11  16:00:00,22.990923871385476,23.848704002213996,22.13279107448908,21.74664690820269,22.650924026826154,19.71055757682435,-0.15628630607425148,-0.02467852284600604,-0.4335025311386602,-0.5146275239888096,-0.3214115393235739 
 01/11  17:00:00,22.88712832369307,23.43460438128612,22.04896952113689,21.547389220656612,22.452246656723005,14.923681642320147,-0.1614420781632004,-0.09652196507971805,-0.4374795881649598,-0.5405998768361793,-0.35109301023450834 
