Date/Time,CORE_ZN:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_ZN_4:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CORE_ZN:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_1:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_2:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_3:Zone Thermal Comfort Fanger Model PMV [](Hourly),PERIMETER_ZN_4:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 01/29  21:00:00,18.20694070411681,18.47688051485128,15.30222037981293,15.254768056442927,15.224102470622459,-3.217066598740355,-1.3258842744922208,-1.195474285931839,-1.9081022977410782,-1.986176338870375,-1.9263132740844124 
 01/29  22:00:00,18.1510206038703,18.369999913179843,15.272189692336475,15.397078985976353,15.158345642254414,-3.97826360442812,-1.338158077317785,-1.2297656393950973,-1.9230797550654002,-1.9726771327983978,-1.9493185721765878 
 01/29  23:00:00,18.10082117966953,18.179530522703736,15.163156270760075,15.397113505516101,15.182910303691873,-5.23551857197323,-1.3491031493062828,-1.271897302313705,-1.9464483536576749,-1.9752493254645718,-1.956741562183429 
 01/29  24:00:00,18.054051271799,17.93141483214133,15.321461899075011,15.214582676538367,15.266875328187375,-5.947713208717512,-1.3593252555145166,-1.3234981176278624,-1.9320639486438367,-2.003144385004333,-1.9513132266775193 
 01/30  01:00:00,18.2406526752225,17.97148665885635,15.37775531719675,15.390312263139677,15.339971086465303,-6.802869515946182,-1.3357655310582872,-1.3325130106240972,-1.9304077797093147,-1.9842690909461624,-1.9470452166628576 
 01/30  02:00:00,18.255122761998983,17.821413978158674,15.063923933418966,15.400741551334406,15.312463504424034,-7.010434998532478,-1.3334155452845287,-1.3636487730208324,-1.979729104701774,-1.9826471029165424,-1.95419205422022 
 01/30  03:00:00,18.245685172182377,17.66704605104412,15.31070586807506,15.239759867437812,15.277760678595023,-7.068144417508451,-1.335777304600262,-1.396832281191231,-1.950103416284401,-2.0056442920054995,-1.9634484183932281 
 01/30  04:00:00,18.228077220326128,17.579247846642787,15.32326027510167,15.384582113012554,15.27789718781033,-7.408857588509986,-1.3397230321089046,-1.4201669209562457,-1.9514856744900673,-1.9891166297844731,-1.9673996193333334 
 01/30  05:00:00,18.20782676094459,17.565852554194855,15.34978343153673,15.404487008873444,15.299964592711962,-7.638523945079761,-1.3441762106450796,-1.4318203073462323,-1.9512851148002517,-1.9866298101608133,-1.9678445825512 
 01/30  06:00:00,18.185615940260874,17.533543512720517,15.355538025371242,15.27558027558322,15.311750566447966,-8.329880752440978,-1.3490221024322704,-1.4440401830574463,-1.9526591750755466,-2.003702810120517,-1.9682481405000174 
 01/30  07:00:00,22.34107241079915,22.272952015121234,20.671923231956807,19.9050181631454,22.013693360219087,-7.723001549750616,-0.7258333458845355,-0.7419595887410789,-1.16046334669269,-1.310242990886736,-0.9644349514797883 
